File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture1-0-0.png,"(67, 63)","(130, 63)","(128, 120)","(64, 119)",0
picture1-0-1.png,"(64, 119)","(128, 120)","(126, 180)","(62, 179)",0
picture1-0-2.png,"(62, 179)","(126, 180)","(125, 242)","(60, 241)",0
picture1-0-3.png,"(60, 241)","(125, 242)","(123, 304)","(59, 303)",0
picture1-0-4.png,"(59, 303)","(123, 304)","(121, 366)","(57, 366)",0
picture1-0-5.png,"(57, 366)","(121, 366)","(120, 429)","(55, 429)",0
picture1-0-6.png,"(55, 429)","(120, 429)","(118, 493)","(53, 492)",0
picture1-0-7.png,"(53, 492)","(118, 493)","(117, 557)","(51, 557)",0
picture1-0-8.png,"(51, 557)","(117, 557)","(114, 622)","(48, 622)",0
picture1-0-9.png,"(48, 622)","(114, 622)","(113, 687)","(46, 687)",0
picture1-0-10.png,"(46, 687)","(113, 687)","(111, 753)","(44, 753)",0
picture1-0-11.png,"(44, 753)","(111, 753)","(108, 821)","(41, 821)",0
picture1-0-12.png,"(41, 821)","(108, 821)","(106, 888)","(39, 889)",0
picture1-0-13.png,"(39, 889)","(106, 888)","(104, 957)","(38, 956)",0
picture1-0-14.png,"(38, 956)","(104, 957)","(103, 1027)","(34, 1027)",0
picture1-0-15.png,"(34, 1027)","(103, 1027)","(100, 1097)","(30, 1098)",0
picture1-0-16.png,"(30, 1098)","(100, 1097)","(97, 1170)","(28, 1170)",0
picture1-0-17.png,"(28, 1170)","(97, 1170)","(95, 1242)","(27, 1241)",0
picture1-0-18.png,"(27, 1241)","(95, 1242)","(95, 1312)","(29, 1311)",0
picture1-1-0.png,"(130, 63)","(193, 63)","(191, 121)","(128, 120)",0
picture1-1-1.png,"(128, 120)","(191, 121)","(189, 181)","(126, 180)",0
picture1-1-2.png,"(126, 180)","(189, 181)","(189, 243)","(125, 242)",0
picture1-1-3.png,"(125, 242)","(189, 243)","(187, 305)","(123, 304)",0
picture1-1-4.png,"(123, 304)","(187, 305)","(186, 367)","(121, 366)",0
picture1-1-5.png,"(121, 366)","(186, 367)","(185, 430)","(120, 429)",0
picture1-1-6.png,"(120, 429)","(185, 430)","(183, 493)","(118, 493)",0
picture1-1-7.png,"(118, 493)","(183, 493)","(181, 557)","(117, 557)",0
picture1-1-8.png,"(117, 557)","(181, 557)","(180, 621)","(114, 622)",0
picture1-1-9.png,"(114, 622)","(180, 621)","(178, 686)","(113, 687)",0
picture1-1-10.png,"(113, 687)","(178, 686)","(177, 753)","(111, 753)",0
picture1-1-11.png,"(111, 753)","(177, 753)","(176, 820)","(108, 821)",0
picture1-1-12.png,"(108, 821)","(176, 820)","(174, 888)","(106, 888)",0
picture1-1-13.png,"(106, 888)","(174, 888)","(172, 957)","(104, 957)",0
picture1-1-14.png,"(104, 957)","(172, 957)","(171, 1026)","(103, 1027)",0
picture1-1-15.png,"(103, 1027)","(171, 1026)","(170, 1097)","(100, 1097)",0
picture1-1-16.png,"(100, 1097)","(170, 1097)","(167, 1168)","(97, 1170)",0
picture1-1-17.png,"(97, 1170)","(167, 1168)","(165, 1242)","(95, 1242)",0
picture1-1-18.png,"(95, 1242)","(165, 1242)","(165, 1313)","(95, 1312)",0
picture1-2-0.png,"(193, 63)","(256, 64)","(254, 121)","(191, 121)",0
picture1-2-1.png,"(191, 121)","(254, 121)","(254, 182)","(189, 181)",0
picture1-2-2.png,"(189, 181)","(254, 182)","(253, 244)","(189, 243)",0
picture1-2-3.png,"(189, 243)","(253, 244)","(252, 306)","(187, 305)",1
picture1-2-4.png,"(187, 305)","(252, 306)","(251, 367)","(186, 367)",1
picture1-2-5.png,"(186, 367)","(251, 367)","(249, 430)","(185, 430)",1
picture1-2-6.png,"(185, 430)","(249, 430)","(248, 493)","(183, 493)",1
picture1-2-7.png,"(183, 493)","(248, 493)","(248, 557)","(181, 557)",0
picture1-2-8.png,"(181, 557)","(248, 557)","(247, 622)","(180, 621)",0
picture1-2-9.png,"(180, 621)","(247, 622)","(245, 686)","(178, 686)",0
picture1-2-10.png,"(178, 686)","(245, 686)","(246, 753)","(177, 753)",1
picture1-2-11.png,"(177, 753)","(246, 753)","(243, 819)","(176, 820)",1
picture1-2-12.png,"(176, 820)","(243, 819)","(242, 887)","(174, 888)",1
picture1-2-13.png,"(174, 888)","(242, 887)","(241, 957)","(172, 957)",1
picture1-2-14.png,"(172, 957)","(241, 957)","(240, 1026)","(171, 1026)",0
picture1-2-15.png,"(171, 1026)","(240, 1026)","(240, 1096)","(170, 1097)",0
picture1-2-16.png,"(170, 1097)","(240, 1096)","(237, 1167)","(167, 1168)",0
picture1-2-17.png,"(167, 1168)","(237, 1167)","(235, 1241)","(165, 1242)",0
picture1-2-18.png,"(165, 1242)","(235, 1241)","(234, 1313)","(165, 1313)",0
picture1-3-0.png,"(256, 64)","(318, 62)","(318, 123)","(254, 121)",0
picture1-3-1.png,"(254, 121)","(318, 123)","(316, 183)","(254, 182)",0
picture1-3-2.png,"(254, 182)","(316, 183)","(316, 245)","(253, 244)",0
picture1-3-3.png,"(253, 244)","(316, 245)","(315, 306)","(252, 306)",1
picture1-3-4.png,"(252, 306)","(315, 306)","(315, 367)","(251, 367)",1
picture1-3-5.png,"(251, 367)","(315, 367)","(315, 430)","(249, 430)",1
picture1-3-6.png,"(249, 430)","(315, 430)","(314, 493)","(248, 493)",1
picture1-3-7.png,"(248, 493)","(314, 493)","(313, 557)","(248, 557)",0
picture1-3-8.png,"(248, 557)","(313, 557)","(313, 622)","(247, 622)",1
picture1-3-9.png,"(247, 622)","(313, 622)","(313, 687)","(245, 686)",0
picture1-3-10.png,"(245, 686)","(313, 687)","(314, 753)","(246, 753)",1
picture1-3-11.png,"(246, 753)","(314, 753)","(311, 819)","(243, 819)",1
picture1-3-12.png,"(243, 819)","(311, 819)","(310, 887)","(242, 887)",1
picture1-3-13.png,"(242, 887)","(310, 887)","(309, 955)","(241, 957)",1
picture1-3-14.png,"(241, 957)","(309, 955)","(308, 1025)","(240, 1026)",0
picture1-3-15.png,"(240, 1026)","(308, 1025)","(307, 1095)","(240, 1096)",0
picture1-3-16.png,"(240, 1096)","(307, 1095)","(306, 1166)","(237, 1167)",0
picture1-3-17.png,"(237, 1167)","(306, 1166)","(307, 1238)","(235, 1241)",0
picture1-3-18.png,"(235, 1241)","(307, 1238)","(304, 1312)","(234, 1313)",0
picture1-4-0.png,"(318, 62)","(381, 63)","(380, 124)","(318, 123)",0
picture1-4-1.png,"(318, 123)","(380, 124)","(380, 185)","(316, 183)",1
picture1-4-2.png,"(316, 183)","(380, 185)","(380, 245)","(316, 245)",0
picture1-4-3.png,"(316, 245)","(380, 245)","(380, 306)","(315, 306)",1
picture1-4-4.png,"(315, 306)","(380, 306)","(380, 368)","(315, 367)",1
picture1-4-5.png,"(315, 367)","(380, 368)","(380, 430)","(315, 430)",1
picture1-4-6.png,"(315, 430)","(380, 430)","(379, 494)","(314, 493)",1
picture1-4-7.png,"(314, 493)","(379, 494)","(379, 557)","(313, 557)",0
picture1-4-8.png,"(313, 557)","(379, 557)","(379, 622)","(313, 622)",1
picture1-4-9.png,"(313, 622)","(379, 622)","(379, 687)","(313, 687)",0
picture1-4-10.png,"(313, 687)","(379, 687)","(378, 753)","(314, 753)",1
picture1-4-11.png,"(314, 753)","(378, 753)","(379, 819)","(311, 819)",1
picture1-4-12.png,"(311, 819)","(379, 819)","(377, 886)","(310, 887)",1
picture1-4-13.png,"(310, 887)","(377, 886)","(378, 955)","(309, 955)",1
picture1-4-14.png,"(309, 955)","(378, 955)","(377, 1025)","(308, 1025)",0
picture1-4-15.png,"(308, 1025)","(377, 1025)","(375, 1094)","(307, 1095)",0
picture1-4-16.png,"(307, 1095)","(375, 1094)","(376, 1165)","(306, 1166)",0
picture1-4-17.png,"(306, 1166)","(376, 1165)","(375, 1238)","(307, 1238)",0
picture1-4-18.png,"(307, 1238)","(375, 1238)","(375, 1311)","(304, 1312)",0
picture1-5-0.png,"(381, 63)","(444, 66)","(443, 125)","(380, 124)",0
picture1-5-1.png,"(380, 124)","(443, 125)","(443, 185)","(380, 185)",1
picture1-5-2.png,"(380, 185)","(443, 185)","(443, 246)","(380, 245)",1
picture1-5-3.png,"(380, 245)","(443, 246)","(444, 307)","(380, 306)",1
picture1-5-4.png,"(380, 306)","(444, 307)","(444, 369)","(380, 368)",1
picture1-5-5.png,"(380, 368)","(444, 369)","(444, 431)","(380, 430)",1
picture1-5-6.png,"(380, 430)","(444, 431)","(444, 494)","(379, 494)",1
picture1-5-7.png,"(379, 494)","(444, 494)","(444, 556)","(379, 557)",0
picture1-5-8.png,"(379, 557)","(444, 556)","(444, 623)","(379, 622)",1
picture1-5-9.png,"(379, 622)","(444, 623)","(444, 687)","(379, 687)",1
picture1-5-10.png,"(379, 687)","(444, 687)","(444, 752)","(378, 753)",1
picture1-5-11.png,"(378, 753)","(444, 752)","(445, 819)","(379, 819)",1
