File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture1-0-0.png,"(68, 61)","(130, 61)","(128, 119)","(64, 118)",0
picture1-0-1.png,"(64, 118)","(128, 119)","(126, 179)","(62, 178)",0
picture1-0-2.png,"(62, 178)","(126, 179)","(125, 241)","(60, 240)",0
picture1-0-3.png,"(60, 240)","(125, 241)","(123, 303)","(59, 302)",0
picture1-0-4.png,"(59, 302)","(123, 303)","(121, 365)","(57, 365)",0
picture1-0-5.png,"(57, 365)","(121, 365)","(120, 428)","(55, 428)",0
picture1-0-6.png,"(55, 428)","(120, 428)","(118, 492)","(53, 491)",0
picture1-0-7.png,"(53, 491)","(118, 492)","(117, 556)","(51, 556)",0
picture1-0-8.png,"(51, 556)","(117, 556)","(114, 621)","(48, 621)",0
picture1-0-9.png,"(48, 621)","(114, 621)","(113, 686)","(46, 686)",0
picture1-0-10.png,"(46, 686)","(113, 686)","(111, 752)","(44, 752)",0
picture1-0-11.png,"(44, 752)","(111, 752)","(108, 820)","(41, 820)",0
picture1-0-12.png,"(41, 820)","(108, 820)","(106, 887)","(39, 888)",0
picture1-0-13.png,"(39, 888)","(106, 887)","(104, 956)","(36, 956)",0
picture1-0-14.png,"(36, 956)","(104, 956)","(103, 1026)","(34, 1026)",0
picture1-0-15.png,"(34, 1026)","(103, 1026)","(100, 1096)","(30, 1097)",0
picture1-0-16.png,"(30, 1097)","(100, 1096)","(97, 1169)","(28, 1169)",0
picture1-0-17.png,"(28, 1169)","(97, 1169)","(95, 1241)","(27, 1240)",0
picture1-0-18.png,"(27, 1240)","(95, 1241)","(95, 1311)","(26, 1311)",0
picture1-1-0.png,"(130, 61)","(192, 62)","(191, 120)","(128, 119)",0
picture1-1-1.png,"(128, 119)","(191, 120)","(189, 180)","(126, 179)",0
picture1-1-2.png,"(126, 179)","(189, 180)","(189, 242)","(125, 241)",0
picture1-1-3.png,"(125, 241)","(189, 242)","(187, 304)","(123, 303)",0
picture1-1-4.png,"(123, 303)","(187, 304)","(186, 366)","(121, 365)",0
picture1-1-5.png,"(121, 365)","(186, 366)","(185, 429)","(120, 428)",0
picture1-1-6.png,"(120, 428)","(185, 429)","(183, 492)","(118, 492)",0
picture1-1-7.png,"(118, 492)","(183, 492)","(181, 556)","(117, 556)",0
picture1-1-8.png,"(117, 556)","(181, 556)","(180, 620)","(114, 621)",0
picture1-1-9.png,"(114, 621)","(180, 620)","(178, 685)","(113, 686)",0
picture1-1-10.png,"(113, 686)","(178, 685)","(177, 752)","(111, 752)",0
picture1-1-11.png,"(111, 752)","(177, 752)","(176, 819)","(108, 820)",0
picture1-1-12.png,"(108, 820)","(176, 819)","(174, 887)","(106, 887)",0
picture1-1-13.png,"(106, 887)","(174, 887)","(172, 956)","(104, 956)",0
picture1-1-14.png,"(104, 956)","(172, 956)","(171, 1025)","(103, 1026)",0
picture1-1-15.png,"(103, 1026)","(171, 1025)","(170, 1096)","(100, 1096)",0
picture1-1-16.png,"(100, 1096)","(170, 1096)","(167, 1167)","(97, 1169)",0
picture1-1-17.png,"(97, 1169)","(167, 1167)","(165, 1241)","(95, 1241)",0
picture1-1-18.png,"(95, 1241)","(165, 1241)","(165, 1312)","(95, 1311)",0
