File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture2-0-0.png,"(63, 27)","(130, 27)","(128, 91)","(62, 91)",0
picture2-0-1.png,"(62, 91)","(128, 91)","(127, 155)","(61, 156)",0
picture2-0-2.png,"(61, 156)","(127, 155)","(127, 220)","(60, 221)",0
picture2-0-3.png,"(60, 221)","(127, 220)","(126, 286)","(59, 286)",0
picture2-0-4.png,"(59, 286)","(126, 286)","(126, 352)","(58, 353)",0
picture2-0-5.png,"(58, 353)","(126, 352)","(126, 421)","(57, 420)",0
picture2-0-6.png,"(57, 420)","(126, 421)","(125, 486)","(55, 485)",0
picture2-0-7.png,"(55, 485)","(125, 486)","(125, 554)","(55, 552)",0
picture2-0-8.png,"(55, 552)","(125, 554)","(126, 622)","(55, 623)",0
picture2-0-9.png,"(55, 623)","(126, 622)","(124, 691)","(54, 692)",0
picture2-0-10.png,"(54, 692)","(124, 691)","(124, 759)","(54, 761)",0
picture2-0-11.png,"(54, 761)","(124, 759)","(122, 829)","(53, 831)",0
picture2-0-12.png,"(53, 831)","(122, 829)","(121, 900)","(51, 902)",0
picture2-0-13.png,"(51, 902)","(121, 900)","(119, 971)","(50, 969)",0
picture2-0-14.png,"(50, 969)","(119, 971)","(118, 1043)","(48, 1045)",0
picture2-0-15.png,"(48, 1045)","(118, 1043)","(117, 1116)","(47, 1118)",0
picture2-0-16.png,"(47, 1118)","(117, 1116)","(117, 1188)","(47, 1189)",0
picture2-0-17.png,"(47, 1189)","(117, 1188)","(117, 1261)","(46, 1259)",0
picture2-0-18.png,"(46, 1259)","(117, 1261)","(117, 1333)","(48, 1328)",0
picture2-1-0.png,"(130, 27)","(197, 27)","(195, 91)","(128, 91)",0
picture2-1-1.png,"(128, 91)","(195, 91)","(195, 155)","(127, 155)",0
picture2-1-2.png,"(127, 155)","(195, 155)","(195, 221)","(127, 220)",0
picture2-1-3.png,"(127, 220)","(195, 221)","(195, 287)","(126, 286)",0
picture2-1-4.png,"(126, 286)","(195, 287)","(195, 354)","(126, 352)",0
picture2-1-5.png,"(126, 352)","(195, 354)","(195, 420)","(126, 421)",0
picture2-1-6.png,"(126, 421)","(195, 420)","(195, 489)","(125, 486)",0
picture2-1-7.png,"(125, 486)","(195, 489)","(194, 554)","(125, 554)",0
picture2-1-8.png,"(125, 554)","(194, 554)","(195, 621)","(126, 622)",0
picture2-1-9.png,"(126, 622)","(195, 621)","(195, 690)","(124, 691)",0
picture2-1-10.png,"(124, 691)","(195, 690)","(195, 758)","(124, 759)",0
picture2-1-11.png,"(124, 759)","(195, 758)","(192, 828)","(122, 829)",0
picture2-1-12.png,"(122, 829)","(192, 828)","(192, 898)","(121, 900)",0
picture2-1-13.png,"(121, 900)","(192, 898)","(191, 969)","(119, 971)",0
picture2-1-14.png,"(119, 971)","(191, 969)","(190, 1042)","(118, 1043)",0
picture2-1-15.png,"(118, 1043)","(190, 1042)","(189, 1115)","(117, 1116)",0
picture2-1-16.png,"(117, 1116)","(189, 1115)","(188, 1187)","(117, 1188)",0
picture2-1-17.png,"(117, 1188)","(188, 1187)","(189, 1261)","(117, 1261)",0
picture2-1-18.png,"(117, 1261)","(189, 1261)","(190, 1332)","(117, 1333)",0
picture2-2-0.png,"(197, 27)","(263, 27)","(262, 91)","(195, 91)",0
picture2-2-1.png,"(195, 91)","(262, 91)","(262, 156)","(195, 155)",0
picture2-2-2.png,"(195, 155)","(262, 156)","(262, 222)","(195, 221)",0
picture2-2-3.png,"(195, 221)","(262, 222)","(263, 287)","(195, 287)",1
picture2-2-4.png,"(195, 287)","(263, 287)","(263, 354)","(195, 354)",1
picture2-2-5.png,"(195, 354)","(263, 354)","(263, 420)","(195, 420)",1
picture2-2-6.png,"(195, 420)","(263, 420)","(263, 487)","(195, 489)",1
picture2-2-7.png,"(195, 489)","(263, 487)","(264, 553)","(194, 554)",0
picture2-2-8.png,"(194, 554)","(264, 553)","(264, 622)","(195, 621)",0
picture2-2-9.png,"(195, 621)","(264, 622)","(264, 688)","(195, 690)",0
